clerocc	construc	educ	exper	expersq	female	lwage	married	ndurman	nonwhite	northcen	numdep	profocc	profserv	services	servocc	smsa	south	tenure	tenursq	trade	trcommpu	wage	west
1	0	10	13	169	1	1.311032	0	0	1	0	4	0	1	0	0	1	0	0	0	0	0	3.71	0
0	0	14	9	81	0	2.0515563488006592	0	0	0	0	0	1	1	0	0	1	0	3	9	0	0	7.78	0
0	0	14	26	676	0	2.9947316646575928	1	0	0	0	2	1	0	0	0	1	0	23	529	0	0	19.98	0
0	0	16	7	49	1	1.8325815200805664	1	0	1	0	3	1	1	0	0	1	0	4	16	0	0	6.25	0
0	0	12	25	625	0	2.302585	1	0	0	0	3	1	1	0	0	1	0	3	9	0	0	10.00	0
0	0	16	10	100	0	1.742219	1	0	0	0	1	1	1	0	0	1	0	5	25	0	0	5.71	0
0	0	12	3	9	1	0.6931472	0	0	0	0	4	0	0	1	0	1	0	2	4	0	0	2.00	0
1	0	16	3	9	1	1.742219	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	5.71	0
0	0	17	17	289	0	2.5710842609405516	1	0	1	0	3	1	1	0	0	1	0	2	4	0	0	13.08	0
0	0	12	17	289	0	1.5912739038467408	1	0	0	0	2	0	0	0	0	1	0	8	64	0	0	4.91	0
1	0	12	20	400	1	1.0681531429290772	1	0	0	0	2	0	0	1	0	1	0	34	1156	0	0	2.91	0
1	1	12	7	49	1	1.3217558860778808	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3.75	0
0	0	13	24	576	0	2.4765384197235108	1	0	0	0	2	1	1	0	0	1	0	19	361	0	0	11.90	0
1	0	12	28	784	1	1.3862943649291992	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	4.00	0
1	0	12	2	4	1	1.1314021348953248	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	3.10	0
0	0	12	19	361	0	2.1341664791107176	1	0	0	0	4	0	0	0	0	1	0	13	169	0	0	8.45	0
0	0	18	13	169	0	1.9657127857208252	1	0	0	0	2	1	1	0	0	1	0	0	0	0	0	7.14	0
0	0	9	22	484	0	1.504077434539795	1	0	0	0	4	0	0	0	0	1	0	5	25	0	0	4.50	0
0	0	16	3	9	0	1.5368672609329224	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	4.65	0
0	0	10	4	16	1	1.0647107362747192	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	2.90	0
0	0	12	7	49	0	1.8976198434829712	0	0	0	0	0	1	0	0	0	1	0	5	25	0	0	6.67	0
0	0	12	6	36	1	1.2527629137039184	0	0	1	0	1	0	1	0	1	1	0	2	4	0	0	3.50	0
0	0	12	13	169	1	1.1817271709442138	1	0	0	0	1	1	0	0	0	1	0	3	9	1	0	3.26	0
1	0	12	14	196	1	1.178655	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	3.25	0
0	0	12	14	196	1	2.0794415473937988	0	0	0	0	1	1	1	0	0	1	0	4	16	0	0	8.00	0
0	0	8	40	1600	0	2.2874715328216552	1	0	1	0	2	0	0	0	0	1	0	24	576	0	0	9.85	0
0	0	12	11	121	0	2.014903	1	0	0	0	1	0	0	0	0	1	0	7	49	0	0	7.50	0
0	0	12	14	196	0	1.7766457796096802	1	0	0	0	2	0	0	0	0	0	0	6	36	0	1	5.91	0
0	0	14	40	1600	0	2.4647039999999996	1	0	0	0	0	1	0	0	0	1	0	39	1521	0	1	11.76	0
0	0	12	1	1	1	1.0986123085021972	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	3.00	0
0	0	12	2	4	1	1.570697	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	4.81	0
0	0	12	4	16	1	1.8718022108078004	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	6.50	0
0	0	9	19	361	1	1.3862943649291992	1	0	0	0	1	0	0	1	1	1	0	1	1	0	0	4.00	0
0	0	13	1	1	0	1.2527629137039184	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	3.50	0
0	0	12	34	1156	0	2.5771818161010744	1	0	0	0	0	1	0	0	0	1	0	22	484	1	0	13.16	0
0	0	14	5	25	0	1.446919	1	0	0	0	2	0	0	0	0	1	0	2	4	1	0	4.25	0
0	0	12	3	9	0	1.2527629137039184	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	3.50	0
0	0	15	6	36	1	1.6351057291030884	0	1	0	0	0	1	0	0	0	1	0	6	36	0	0	5.13	0
0	0	12	14	196	1	1.3217558860778808	1	0	0	0	3	0	0	1	1	1	0	0	0	0	0	3.75	0
1	0	12	35	1225	1	1.504077434539795	1	0	0	0	0	0	1	0	0	1	0	12	144	0	0	4.50	0
1	0	12	8	64	1	2.0320878028869628	0	0	0	0	0	0	0	0	0	1	0	4	16	0	1	7.63	0
0	0	14	7	49	0	2.70805025100708	1	0	1	0	1	0	0	0	0	1	0	7	49	0	0	15.00	0
0	0	15	11	121	1	1.9242486953735352	1	0	0	0	2	1	1	0	0	1	0	3	9	0	0	6.85	0
0	0	12	14	196	0	2.590017	1	0	0	0	2	1	0	0	0	1	0	11	121	1	0	13.33	0
0	0	12	35	1225	0	1.8976198434829712	0	0	0	0	0	0	0	0	0	1	0	10	100	0	0	6.67	0
0	0	12	46	2116	1	0.9282193	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2.53	0
0	0	17	7	49	0	2.2823824882507324	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	9.80	0
0	0	11	45	2025	0	1.2149126529693604	1	0	0	0	0	1	0	0	0	1	0	12	144	1	0	3.37	0
0	0	18	29	841	0	3.2180755138397216	1	0	0	0	0	1	0	0	0	1	0	25	625	0	0	24.98	0
0	0	12	6	36	0	1.686399	1	0	0	0	0	0	0	1	0	1	0	3	9	0	0	5.40	0
0	0	14	15	225	0	1.8099267482757568	1	0	0	0	2	1	0	0	0	1	0	0	0	1	0	6.11	0
0	0	14	33	1089	1	1.4350844621658326	1	0	0	0	0	1	1	0	0	1	0	16	256	0	0	4.20	0
0	0	10	15	225	0	1.3217558860778808	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3.75	0
1	0	14	5	25	1	1.2527629137039184	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3.50	0
0	0	12	7	49	0	1.2919837236404418	0	0	0	0	0	0	1	0	1	1	1	2	4	0	0	3.64	0
0	0	15	6	36	0	1.3350011110305786	1	0	0	0	1	0	0	0	0	1	1	1	1	1	0	3.80	0
0	0	8	33	1089	1	1.0986123085021972	1	1	0	0	3	0	0	0	0	0	1	12	144	0	0	3.00	0
0	0	16	2	4	1	1.609438	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	5.00	0
0	0	14	4	16	1	1.5325568914413452	1	0	0	0	2	0	1	0	1	1	1	0	0	0	0	4.63	0
0	0	15	1	1	0	1.0986123085021972	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	3.00	0
1	0	12	29	841	1	1.1631507873535156	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	3.20	0
0	0	18	17	289	0	1.3635374307632446	1	0	0	0	2	1	1	0	0	0	1	3	9	0	0	3.91	0
0	0	16	17	289	1	1.8609745502471924	1	0	0	0	2	1	1	0	0	0	1	3	9	0	0	6.43	0
0	0	10	36	1296	1	1.7011051177978516	1	0	0	0	0	0	0	0	0	1	1	3	9	0	0	5.48	0
0	0	8	31	961	0	0.4054651	0	0	0	0	0	0	0	0	0	0	1	30	900	1	0	1.50	0
0	0	10	23	529	1	1.0647107362747192	0	0	0	0	2	0	1	0	1	0	1	2	4	0	0	2.90	0
0	0	11	13	169	0	1.609438	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	5.00	0
0	0	18	3	9	0	2.1882958412170412	1	0	0	0	0	1	0	0	0	1	1	3	9	1	0	8.92	0
0	0	15	15	225	0	1.609438	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	5.00	0
0	0	12	48	2304	0	1.258461	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	3.52	0
0	0	11	6	36	1	1.0647107362747192	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2.90	0
0	0	12	12	144	0	1.504077434539795	1	0	0	0	3	0	0	0	0	1	1	0	0	1	0	4.50	0
0	0	12	5	25	1	0.8109302	0	0	0	0	2	0	0	0	1	1	1	0	0	1	0	2.25	0
0	0	14	19	361	0	1.609438	1	0	0	0	4	0	0	0	0	1	1	5	25	1	0	5.00	0
0	0	16	9	81	0	2.302585	1	0	1	0	2	1	0	0	0	1	1	3	9	0	0	10.00	0
0	0	2	39	1521	0	1.3217558860778808	1	0	0	0	0	0	1	0	1	1	1	13	169	0	0	3.75	0
0	0	14	28	784	1	2.302585	1	1	0	0	0	1	0	0	0	1	1	11	121	0	0	10.00	0
0	0	16	23	529	0	2.3933393955230712	1	1	0	0	4	1	0	0	0	1	1	20	400	0	0	10.95	0
0	1	12	2	4	0	2.0668628215789796	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	7.90	0
0	0	12	15	225	1	1.5518087148666382	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	4.72	0
1	0	13	5	25	1	1.7647308111190796	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	5.84	0
1	0	12	18	324	1	1.3428647518157958	0	0	0	0	3	0	0	0	0	1	1	2	4	0	0	3.83	0
0	0	15	2	4	1	1.1631507873535156	0	0	0	0	2	0	0	0	0	1	1	2	4	0	1	3.20	0
0	0	10	3	9	1	0.6931472	0	0	1	0	5	0	0	0	1	1	1	0	0	1	0	2.00	0
1	0	12	31	961	1	1.504077434539795	1	0	0	0	3	0	1	0	0	1	1	4	16	0	0	4.50	0
1	1	16	20	400	1	2.446685552597046	1	0	0	0	3	0	0	0	0	1	1	5	25	0	0	11.55	0
0	0	13	34	1156	1	0.7608059	1	0	1	0	0	0	0	1	0	1	1	15	225	0	0	2.14	0
0	0	9	5	25	0	0.8671005	0	0	1	0	5	0	0	0	1	1	1	0	0	0	0	2.38	0
0	0	12	11	121	0	1.3217558860778808	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	3.75	0
0	0	13	31	961	0	1.7083778381347656	0	0	0	0	0	0	0	0	0	1	1	3	9	1	0	5.52	0
1	0	12	8	64	1	1.8718022108078004	1	0	0	0	0	0	0	0	0	1	1	5	25	0	1	6.50	0
0	0	12	2	4	1	1.1314021348953248	0	1	0	0	1	0	0	0	0	1	1	2	4	0	0	3.10	0
0	0	14	18	324	0	2.302585	1	0	0	0	2	1	0	0	0	1	1	5	25	0	0	10.00	0
0	0	16	3	9	0	1.891604781150818	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	6.63	0
0	0	16	3	9	0	2.302585	1	0	0	0	0	1	0	0	0	1	1	2	4	0	1	10.00	0
0	0	9	4	16	1	0.8372475	0	0	0	1	5	0	0	0	1	0	0	1	1	1	0	2.31	0
0	0	18	4	16	0	1.9286186695098876	0	0	0	1	0	1	1	0	0	1	0	4	16	0	0	6.88	0
0	0	10	1	1	0	1.0402766466140748	0	0	0	1	4	0	0	0	0	1	0	0	0	1	0	2.83	0
0	0	10	1	1	1	1.141033	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	3.13	0
0	0	13	28	784	0	2.0794415473937988	1	0	0	1	1	1	0	1	0	1	0	5	25	0	0	8.00	0
1	0	12	47	2209	1	1.504077434539795	1	0	0	1	0	0	0	0	0	1	0	4	16	1	0	4.50	0
0	0	18	13	169	1	2.1575593948364256	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	8.65	0
0	0	13	2	4	1	0.6931472	0	0	0	1	0	0	0	1	1	1	0	6	36	0	0	2.00	0
0	0	12	48	2304	1	1.5581445693969726	1	0	0	1	0	0	1	0	1	1	0	2	4	0	0	4.75	0
0	0	13	6	36	1	1.8325815200805664	1	0	0	1	1	1	1	0	0	1	0	5	25	0	0	6.25	0
0	0	13	8	64	0	1.7917594909667968	1	0	0	1	2	0	1	0	1	1	0	0	0	0	0	6.00	0
0	0	13	25	625	0	2.733068	1	0	0	1	2	1	1	0	0	1	0	21	441	0	0	15.38	0
0	0	18	13	169	1	2.6796507835388184	0	0	0	1	0	1	1	0	0	1	0	7	49	0	0	14.58	0
0	0	12	8	64	0	2.525728702545166	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	12.50	0
1	0	12	19	361	1	1.658228	1	0	0	1	2	0	0	0	0	1	0	10	100	0	1	5.25	0
0	0	13	1	1	1	0.7747272	0	1	0	1	1	0	0	0	1	1	0	4	16	0	0	2.17	0
0	0	12	43	1849	1	1.9657127857208252	0	0	0	1	0	0	0	0	0	1	0	5	25	0	0	7.14	0
1	0	12	19	361	1	1.8277698755264284	1	0	0	1	1	0	1	0	0	1	0	9	81	0	0	6.22	0
0	0	12	11	121	1	2.1972246170043944	1	0	0	1	0	1	1	0	0	1	0	5	25	0	0	9.00	0
0	0	14	43	1849	0	2.302585	1	0	0	1	0	1	1	0	0	1	0	4	16	0	0	10.00	0
0	0	10	44	1936	0	1.752672	1	0	0	1	0	1	1	0	0	1	0	3	9	0	0	5.77	0
0	0	12	22	484	1	1.3862943649291992	1	1	0	1	2	0	0	0	0	1	0	11	121	0	0	4.00	0
0	0	16	3	9	0	2.1690537929534912	1	1	0	1	1	1	0	0	0	1	0	2	4	0	0	8.75	0
0	0	16	3	9	1	1.876407	0	0	0	1	0	1	1	0	0	1	0	2	4	0	0	6.53	0
0	0	12	41	1681	1	2.0281481742858888	0	0	0	1	0	1	1	0	0	1	0	11	121	0	0	7.60	0
0	0	14	5	25	0	1.609438	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	5.00	0
0	0	12	14	196	1	1.609438	0	0	0	1	0	0	1	0	1	1	0	11	121	0	0	5.00	0
0	0	12	24	576	0	3.0846586227416992	1	0	0	1	3	1	0	0	0	1	0	16	256	1	0	21.86	0
0	0	12	28	784	0	2.1564025878906248	1	1	0	1	0	1	0	0	0	1	0	8	64	0	0	8.64	0
0	0	12	25	625	0	1.1939224004745484	1	0	0	1	1	0	0	0	0	1	0	8	64	1	0	3.30	0
0	0	12	3	9	0	1.4906543493270874	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	4.44	0
0	0	12	11	121	0	1.5151273012161254	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4.55	0
0	0	12	7	49	1	1.2527629137039184	1	0	1	1	0	0	0	0	0	0	0	6	36	0	0	3.50	0
0	0	16	9	81	0	1.8325815200805664	1	0	0	1	1	1	1	0	0	0	0	2	4	0	0	6.25	0
0	0	16	5	25	0	1.348073124885559	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	3.85	0
0	0	14	9	81	1	1.82131826877594	1	0	0	1	0	1	1	0	0	1	0	3	9	0	0	6.18	0
0	0	11	1	1	1	1.0681531429290772	0	0	0	1	3	1	0	1	0	1	0	0	0	0	0	2.91	0
0	0	16	2	4	1	1.8325815200805664	0	0	1	1	0	1	0	0	0	1	0	1	1	1	0	6.25	0
1	0	12	13	169	1	1.8325815200805664	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	6.25	0
0	1	12	10	100	0	2.2027647495269776	1	0	0	1	3	1	0	0	0	1	0	2	4	0	0	9.05	0
0	0	17	5	25	0	2.302585	1	0	0	1	0	1	0	0	0	1	0	3	9	0	0	10.00	0
0	0	12	30	900	0	2.4078454971313476	1	0	0	1	0	1	0	0	0	1	0	8	64	1	0	11.11	0
0	0	12	31	961	0	1.9286186695098876	1	0	0	1	3	0	1	0	1	1	0	19	361	0	0	6.88	0
0	0	16	1	1	0	2.1690537929534912	0	0	1	1	0	1	0	0	0	1	0	2	4	0	0	8.75	0
0	1	8	9	81	0	2.302585	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	10.00	0
0	0	12	10	100	1	1.1151416301727294	1	0	0	1	2	0	0	0	0	1	0	0	0	1	0	3.05	0
1	0	12	38	1444	1	1.0986123085021972	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3.00	0
0	0	12	19	361	1	1.757858	1	1	0	1	2	0	0	0	0	0	0	6	36	0	0	5.80	0
0	0	16	5	25	1	1.4109869003295898	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	4.10	0
0	0	12	26	676	0	2.0794415473937988	1	0	0	1	1	0	0	0	0	1	0	2	4	0	0	8.00	0
0	0	12	35	1225	1	1.8164521455764772	0	0	0	1	0	0	0	0	0	1	0	12	144	1	0	6.15	0
1	0	9	2	4	1	0.9932518	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	2.70	0
0	0	13	1	1	1	1.011601	0	0	0	1	1	0	1	0	1	1	0	2	4	0	0	2.75	0
1	0	16	19	361	1	1.0986123085021972	1	0	0	1	0	0	0	0	0	1	0	10	100	1	0	3.00	0
0	0	14	3	9	1	1.0986123085021972	0	0	0	1	0	0	1	0	1	1	0	2	4	0	0	3.00	0
0	0	8	36	1296	0	1.99606	1	0	0	1	3	0	0	0	0	1	0	24	576	0	0	7.36	0
0	0	14	29	841	0	2.014903	1	0	0	1	1	1	0	0	0	1	0	24	576	0	0	7.50	0
0	0	13	1	1	0	1.2527629137039184	0	0	0	1	3	0	0	0	0	1	0	2	4	1	0	3.50	0
0	0	12	38	1444	1	2.091864	1	0	0	1	1	1	1	0	0	1	0	3	9	0	0	8.10	0
0	0	18	1	1	0	1.3217558860778808	0	0	0	1	1	1	1	0	0	1	0	2	4	0	0	3.75	0
0	0	9	29	841	0	1.178655	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	3.25	0
1	0	8	36	1296	1	1.763017	1	0	0	0	0	0	1	0	0	0	0	15	225	0	0	5.83	0
0	0	8	4	16	0	1.2527629137039184	0	0	0	0	3	0	0	0	1	1	0	0	0	1	0	3.50	0
0	0	12	45	2025	1	1.2029722929000854	1	0	0	0	0	0	0	0	0	0	0	4	16	1	0	3.33	0
1	1	14	22	484	1	1.3862943649291992	0	0	0	0	0	0	0	0	0	1	0	3	9	0	0	4.00	0
1	0	12	20	400	1	1.2527629137039184	1	0	0	0	2	0	1	0	0	0	0	4	16	0	0	3.50	0
0	0	16	5	25	0	1.8325815200805664	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	6.25	0
0	0	8	15	225	1	1.0818052291870118	1	1	1	0	1	0	0	0	0	1	0	2	4	0	0	2.95	0
0	0	13	10	100	1	1.742219	1	0	0	0	0	1	0	0	0	1	0	2	4	1	0	5.71	0
0	0	9	3	9	1	1.0986123085021972	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3.00	0
0	0	16	16	256	0	3.1293885707855224	1	0	0	0	2	1	0	0	0	1	0	7	49	0	0	22.86	0
0	0	12	38	1444	0	2.1972246170043944	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	9.00	0
0	0	15	33	1089	0	2.119863510131836	1	0	0	0	1	1	1	0	0	1	0	26	676	0	0	8.33	0
0	0	11	2	4	0	1.0986123085021972	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3.00	0
0	0	14	6	36	0	1.7491998672485352	1	0	0	0	0	1	0	0	0	1	0	5	25	1	0	5.75	0
0	0	12	19	361	0	1.911023	1	1	1	0	2	0	0	0	0	1	0	3	9	0	0	6.76	0
1	0	12	29	841	0	2.302585	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	10.00	0
0	1	12	2	4	0	1.0986123085021972	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3.00	0
0	0	18	3	9	1	1.2527629137039184	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	3.50	0
0	0	12	4	16	0	1.178655	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3.25	0
1	0	12	10	100	1	1.3862943649291992	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	4.00	0
0	0	12	4	16	1	1.07158362865448	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	2.92	0
0	0	12	14	196	1	1.1184148788452148	0	0	1	0	3	0	0	0	0	0	1	10	100	1	0	3.06	0
0	0	12	15	225	1	1.1631507873535156	1	0	0	0	1	1	1	0	0	0	1	5	25	0	0	3.20	0
0	0	12	19	361	0	1.5581445693969726	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	4.75	0
1	0	14	17	289	1	1.0986123085021972	1	0	0	0	4	0	0	1	0	1	1	0	0	0	0	3.00	0
0	0	16	29	841	0	2.899221420288086	1	1	0	0	1	1	0	0	0	1	1	7	49	0	0	18.16	0
1	0	12	2	4	1	1.2527629137039184	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	3.50	0
0	0	14	5	25	0	1.413423	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	4.11	0
